Name,Latitude,Longitude,City,State,Country,Region
Amazon_Guangzhou,23.1301964,113.2592945,Guangzhou,,China,china
Amazon_Tianjin,39.3032619,117.4163641,Tianjin,,China,china
Amazon_Multan,30.197838,71.4719683,Multan,,Pakistan,pakistan
Amazon_Jurong,1.2595841,103.6704952,Jurong,,Singapore,singapore
Amazon_Cabo de Santo Agostinho,-8.2838945,-35.0320984,Cabo de Santo Agostinho,Pernambuco,Brazil,brazil
Amazon_GRU6,-23.3561111,-46.8769444,Cajamar,São Paulo,Brazil,brazil
Amazon_Lutterworth,52.4552224,-1.1997815,Lutterworth,England,United Kingdom,europe
Amazon_VLC1,39.965214,-0.2625745,"Onda, Castellón",,Spain,europe
Amazon_Heidenheim an der Brenz,48.6767637,10.152923,Heidenheim an der Brenz,Baden-Württemberg,Germany,europe
Amazon_Bratislava,48.1516988,17.1093063,Bratislava,,Slovakia,europe
Amazon_SCCA,22.5726459,88.3638953,Kolkata,West Bengal,India,india
Amazon_BOM7,19.3025562,73.0588072,Bhiwandi,Maharashtra,India,india
Amazon_BLR5,12.9767936,77.590082,Bangalore,Karnataka,India,india
Amazon_DEL2,28.4646148,77.0299194,Gurgaon,Haryana,India,india
Amazon_DXB5,25.0742823,55.1885387,Dubai,,United Arab Emirates,united_arab_emirates
Amazon_AUH1,24.4538352,54.3774014,Abu Dhabi,,United Arab Emirates,united_arab_emirates
Amazon_YGK1,44.2436328,-77.3607597,Belleville,Ontario,Canada,canada
Amazon_YYC4,51.0456064,-114.057541,Calgary,Alberta,Canada,canada
Amazon_Jeddah,21.5504432,39.1742363,Jeddah,,Saudi Arabia,saudi_arabia
Amazon_Riyadh,23.333333,45.333333,Riyadh,,Saudi Arabia,saudi_arabia
Amazon_10th of Ramadan,30.3154491,31.7392776,10th of Ramadan,,Egypt,egypt
Amazon_NRT2,35.722537,140.0995131,Yachiyo,Chiba Prefecture,Japan,japan
Amazon_KIX1,34.5737364,135.4828866,Sakai,Osaka Prefecture,Japan,japan
Amazon_HND9,35.5306639,139.7037668,Kawasaki,Kanagawa Prefecture,Japan,japan
Amazon_MEX3,19.7187644,-99.3069331,Tepotzotlán,State of Mexico,Mexico,mexico
Amazon_TIJ1,32.5317397,-117.019529,Tijuana,Baja California,Mexico,mexico
Amazon_Ravenhall,-37.7754956,144.7366326,Ravenhall,Victoria,Australia,australia
Amazon_Mayfield West,-32.890084,151.7262824,Mayfield West,New South Wales,Australia,australia
Amazon_Kewdale,-31.9760687,115.9423314,Kewdale,Western Australia,Australia,australia
Amazon_Cavan,-34.825656,138.5995084,Cavan,South Australia,Australia,australia
Amazon_ABE4,40.2222915,-75.1383097,Easton,Pennsylvania,USA,usa
Amazon_SAV3,32.7204295,-83.725539,Macon,Georgia,USA,usa
Amazon_OKC1,35.3749887,-97.5805525,Oklahoma City,Oklahoma,USA,usa
Amazon_RNO4,39.6038349,-119.8484197,Reno,Nevada,USA,usa
Amazon_WIN2,40.4275084,-86.9210289,Lafayette,Indiana,USA,usa
